Entry,Entry name,Status,Protein names,Gene names,Organism,Length,EC number,Function [CC],Enzyme regulation
H6BVQ9,H6BVQ9_EXODN,unreviewed,Sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Sulfate adenylate transferase) (SAT),MET3 HMPREF1120_04044,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),573,2.7.7.4,FUNCTION: Catalyzes the first intracellular reaction of sulfate assimilation; forming adenosine-5'-phosphosulfate (APS) from inorganic sulfate and ATP. Plays an important role in sulfate activation as a component of the biosynthesis pathway of sulfur-containing amino acids. {ECO:0000256|HAMAP-Rule:MF_03106}.,
H6C3J4,H6C3J4_EXODN,unreviewed,p21-activated kinase 1,HMPREF1120_06221,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),864,,,
H6BQ18,H6BQ18_EXODN,unreviewed,Ribokinase (RK) (EC 2.7.1.15),HMPREF1120_02631,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),387,2.7.1.15,FUNCTION: Catalyzes the phosphorylation of ribose at O-5 in a reaction requiring ATP and magnesium. The resulting D-ribose-5-phosphate can then be used either for sythesis of nucleotides; histidine; and tryptophan; or as a component of the pentose phosphate pathway. {ECO:0000256|HAMAP-Rule:MF_03215}.,ENZYME REGULATION: Activated by a monovalent cation that binds near; but not in; the active site. The most likely occupant of the site in vivo is potassium. Ion binding induces a conformational change that may alter substrate affinity. {ECO:0000256|HAMAP-Rule:MF_03215}.
H6CA38,H6CA38_EXODN,unreviewed,Queuine tRNA-ribosyltransferase catalytic subunit 1 (EC 2.4.2.29) (Guanine insertion enzyme) (tRNA-guanine transglycosylase),HMPREF1120_07977,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),469,2.4.2.29,FUNCTION: Catalytic subunit of the queuine tRNA-ribosyltransferase (TGT) that catalyzes the base-exchange of a guanine (G) residue with queuine (Q) at position 34 (anticodon wobble position) in tRNAs with GU(N) anticodons (tRNA-Asp; -Asn; -His and -Tyr); resulting in the hypermodified nucleoside queuosine (7-(((4;5-cis-dihydroxy-2-cyclopenten-1-yl)amino)methyl)-7-deazaguanosine). Catalysis occurs through a double-displacement mechanism. The nucleophile active site attacks the C1' of nucleotide 34 to detach the guanine base from the RNA; forming a covalent enzyme-RNA intermediate. The proton acceptor active site deprotonates the incoming queuine; allowing a nucleophilic attack on the C1' of the ribose to form the product. {ECO:0000256|HAMAP-Rule:MF_03218}.; FUNCTION: Catalyzes the base-exchange of a guanine (G) residue with the queuine precursor 7-aminomethyl-7-deazaguanine (PreQ1) at position 34 (anticodon wobble position) in tRNAs with GU(N) anticodons (tRNA-Asp; -Asn; -His and -Tyr). Catalysis occurs through a double-displacement mechanism. The nucleophile active site attacks the C1' of nucleotide 34 to detach the guanine base from the RNA; forming a covalent enzyme-RNA intermediate. The proton acceptor active site deprotonates the incoming PreQ1; allowing a nucleophilic attack on the C1' of the ribose to form the product. After dissociation; two additional enzymatic reactions on the tRNA convert PreQ1 to queuine (Q); resulting in the hypermodified nucleoside queuosine (7-(((4;5-cis-dihydroxy-2-cyclopenten-1-yl)amino)methyl)-7-deazaguanosine). {ECO:0000256|RuleBase:RU003777}.,
H6BUX8,H6BUX8_EXODN,unreviewed,Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase),HMPREF1120_03107,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),420,6.3.4.4,FUNCTION: Plays an important role in the de novo pathway and in the salvage pathway of purine nucleotide biosynthesis. Catalyzes the first commited step in the biosynthesis of AMP from IMP. {ECO:0000256|HAMAP-Rule:MF_03125}.; FUNCTION: Plays an important role in the de novo pathway of purine nucleotide biosynthesis. {ECO:0000256|RuleBase:RU000520}.,
H6C779,H6C779_EXODN,unreviewed,Flap endonuclease 1 (FEN-1) (EC 3.1.-.-) (Flap structure-specific endonuclease 1),FEN1 HMPREF1120_07561,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),395,3.1.-.-,FUNCTION: Structure-specific nuclease with 5'-flap endonuclease and 5'-3' exonuclease activities involved in DNA replication and repair. During DNA replication; cleaves the 5'-overhanging flap structure that is generated by displacement synthesis when DNA polymerase encounters the 5'-end of a downstream Okazaki fragment. It enters the flap from the 5'-end and then tracks to cleave the flap base; leaving a nick for ligation. Also involved in the long patch base excision repair (LP-BER) pathway; by cleaving within the apurinic/apyrimidinic (AP) site-terminated flap. Acts as a genome stabilization factor that prevents flaps from equilibrating into structurs that lead to duplications and deletions. Also possesses 5'-3' exonuclease activity on nicked or gapped double-stranded DNA; and exhibits RNase H activity. Also involved in replication and repair of rDNA and in repairing mitochondrial DNA. {ECO:0000256|HAMAP-Rule:MF_03140; ECO:0000256|SAAS:SAAS00631851}.,
H6BMD3,H6BMD3_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_01215,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),555,,,
H6BZX4,H6BZX4_EXODN,unreviewed,Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205),HMPREF1120_04394,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),550,1.1.1.205,FUNCTION: Catalyzes the conversion of inosine 5'-phosphate (IMP) to xanthosine 5'-phosphate (XMP); the first committed and rate-limiting step in the de novo synthesis of guanine nucleotides; and therefore plays an important role in the regulation of cell growth. {ECO:0000256|HAMAP-Rule:MF_03156}.,ENZYME REGULATION: Mycophenolic acid (MPA) is a non-competitive inhibitor that prevents formation of the closed enzyme conformation by binding to the same site as the amobile flap. In contrast; mizoribine monophosphate (MZP) is a competitive inhibitor that induces the closed conformation. MPA is a potent inhibitor of mammalian IMPDHs but a poor inhibitor of the bacterial enzymes. MZP is a more potent inhibitor of bacterial IMPDH. {ECO:0000256|HAMAP-Rule:MF_03156}.
H6C8U9,H6C8U9_EXODN,unreviewed,GTP:AMP phosphotransferase; mitochondrial (EC 2.7.4.10) (Adenylate kinase 3) (AK 3),ADK2 HMPREF1120_08482,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),259,2.7.4.10,FUNCTION: Involved in maintaining the homeostasis of cellular nucleotides by catalyzing the interconversion of nucleoside phosphates. Has GTP:AMP phosphotransferase and ITP:AMP phosphotransferase activities. {ECO:0000256|HAMAP-Rule:MF_03169}.,
H6BZB6,H6BZB6_EXODN,unreviewed,Arginine biosynthesis bifunctional protein ArgJ; mitochondrial [Cleaved into: Arginine biosynthesis bifunctional protein ArgJ alpha chain; Arginine biosynthesis bifunctional protein ArgJ beta chain] [Includes: Amino-acid acetyltransferase (EC 2.3.1.1) (N-acetylglutamate synthase) (AGS); Glutamate N-acetyltransferase (GAT) (EC 2.3.1.35) (Ornithine transacetylase) (Ornithine acetyltransferase) (OATase)],HMPREF1120_05035,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),481,2.3.1.1; 2.3.1.35,FUNCTION: Catalyzes two activities which are involved in the cyclic version of arginine biosynthesis: the synthesis of acetylglutamate from glutamate and acetyl-CoA; and of ornithine by transacetylation between acetylornithine and glutamate. {ECO:0000256|HAMAP-Rule:MF_03124}.,
H6BK67,H6BK67_EXODN,unreviewed,Ribokinase (RK) (EC 2.7.1.15),HMPREF1120_00713,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),390,2.7.1.15,FUNCTION: Catalyzes the phosphorylation of ribose at O-5 in a reaction requiring ATP and magnesium. The resulting D-ribose-5-phosphate can then be used either for sythesis of nucleotides; histidine; and tryptophan; or as a component of the pentose phosphate pathway. {ECO:0000256|HAMAP-Rule:MF_03215}.,ENZYME REGULATION: Activated by a monovalent cation that binds near; but not in; the active site. The most likely occupant of the site in vivo is potassium. Ion binding induces a conformational change that may alter substrate affinity. {ECO:0000256|HAMAP-Rule:MF_03215}.
H6BYE6,H6BYE6_EXODN,unreviewed,Inosine triphosphate pyrophosphatase (ITPase) (Inosine triphosphatase) (EC 3.6.1.9) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase),HMPREF1120_05558,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),204,3.6.1.9,FUNCTION: Pyrophosphatase that hydrolyzes non-canonical purine nucleotides such as inosine triphosphate (ITP); deoxyinosine triphosphate (dITP) or xanthosine 5'-triphosphate (XTP) to their respective monophosphate derivatives. The enzyme does not distinguish between the deoxy- and ribose forms. Probably excludes non-canonical purines from RNA and DNA precursor pools; thus preventing their incorporation into RNA and DNA and avoiding chromosomal lesions. {ECO:0000256|HAMAP-Rule:MF_03148}.,
H6BSJ9,H6BSJ9_EXODN,unreviewed,DNA helicase (EC 3.6.4.12),HMPREF1120_02379,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),726,3.6.4.12,,
H6BM84,H6BM84_EXODN,unreviewed,Phosphatidylserine decarboxylase proenzyme 2 (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase 2 alpha chain; Phosphatidylserine decarboxylase 2 beta chain],PSD2 HMPREF1120_00240,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),1000,4.1.1.65,FUNCTION: Catalyzes the formation of phosphatidylethanolamine (PtdEtn) from phosphatidylserine (PtdSer). Plays a central role in phospholipid metabolism and in the interorganelle trafficking of phosphatidylserine. {ECO:0000256|HAMAP-Rule:MF_03209}.,
H6BUT7,H6BUT7_EXODN,unreviewed,Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase),HMPREF1120_03898,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),453,6.3.4.4,FUNCTION: Plays an important role in the de novo pathway and in the salvage pathway of purine nucleotide biosynthesis. Catalyzes the first commited step in the biosynthesis of AMP from IMP. {ECO:0000256|HAMAP-Rule:MF_03125}.; FUNCTION: Plays an important role in the de novo pathway of purine nucleotide biosynthesis. {ECO:0000256|RuleBase:RU000520}.,
H6BNS3,H6BNS3_EXODN,unreviewed,ATP-dependent 6-phosphofructokinase (ATP-PFK) (Phosphofructokinase) (EC 2.7.1.11) (Phosphohexokinase),HMPREF1120_00472,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),794,2.7.1.11,FUNCTION: Catalyzes the phosphorylation of D-fructose 6-phosphate to fructose 1;6-bisphosphate by ATP; the first committing step of glycolysis. {ECO:0000256|HAMAP-Rule:MF_03184}.,ENZYME REGULATION: Allosterically activated by ADP; AMP; or fructose 2;6-bisphosphate; and allosterically inhibited by ATP or citrate. {ECO:0000256|HAMAP-Rule:MF_03184}.
H6C7L9,H6C7L9_EXODN,unreviewed,ABC bile acid transporter,HMPREF1120_06851,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),1445,,,
H6BSY5,H6BSY5_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_01627,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),207,,,
H6BZC4,H6BZC4_EXODN,unreviewed,Formate dehydrogenase (FDH) (EC 1.2.1.2) (NAD-dependent formate dehydrogenase),HMPREF1120_05043,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),365,1.2.1.2,FUNCTION: Catalyzes the NAD(+)-dependent oxidation of formate to carbon dioxide. Formate oxidation is the final step in the methanol oxidation pathway in methylotrophic microorganisms. Has a role in the detoxification of exogenous formate in non-methylotrophic organisms. {ECO:0000256|HAMAP-Rule:MF_03210}.,
H6C6N9,H6C6N9_EXODN,unreviewed,tRNA N6-adenosine threonylcarbamoyltransferase; mitochondrial (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein) (tRNA threonylcarbamoyladenosine biosynthesis protein),HMPREF1120_07375,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),459,2.3.1.234,FUNCTION: Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in mitochondrial tRNAs that read codons beginning with adenine. Probably involved in the transfer of the threonylcarbamoyl moiety of threonylcarbamoyl-AMP (TC-AMP) to the N6 group of A37. Involved in mitochondrial genome maintenance. {ECO:0000256|HAMAP-Rule:MF_03179}.,
H6C6L6,H6C6L6_EXODN,unreviewed,Protein kinase C (EC 2.7.11.13),HMPREF1120_07353,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),1164,2.7.11.13,,
H6C339,H6C339_EXODN,unreviewed,Triacylglycerol lipase,HMPREF1120_06072,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),284,,,
H6C5X8,H6C5X8_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_07122,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),979,,,
H6CB80,H6CB80_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_08967,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),812,,,
H6BQT7,H6BQT7_EXODN,unreviewed,Ubiquitin thiolesterase,HMPREF1120_02031,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),756,,,
H6BL01,H6BL01_EXODN,unreviewed,Ferric-chelate reductase,HMPREF1120_00029,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),669,,,
H6BRM2,H6BRM2_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_02915,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),318,,,
H6C9E1,H6C9E1_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_08660,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),193,,,
H6C0M1,H6C0M1_EXODN,unreviewed,ADP-ribosylation factor like protein 1,HMPREF1120_05307,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),282,,,
H6BRQ2,H6BRQ2_EXODN,unreviewed,Fructose-2;6-bisphosphatase,HMPREF1120_02945,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),995,,,
H6C2N6,H6C2N6_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_05974,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),531,,,
H6C2P7,H6C2P7_EXODN,unreviewed,Sterol 24-C-methyltransferase (EC 2.1.1.41) (Delta(24)-sterol C-methyltransferase),HMPREF1120_05985,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),486,2.1.1.41,FUNCTION: Catalyzes the methyl transfer from S-adenosyl-methionine to the C-24 of zymosterol to form fecosterol. {ECO:0000256|RuleBase:RU362025}.,
H6CA59,H6CA59_EXODN,unreviewed,DNA excision repair protein ERCC-6,HMPREF1120_07998,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),1204,,,
H6BSG9,H6BSG9_EXODN,unreviewed,Methylenetetrahydrofolate reductase (EC 1.5.1.20),HMPREF1120_02352,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),788,1.5.1.20,,
H6C616,H6C616_EXODN,unreviewed,tRNA (Guanine-N2-)-methyltransferase,HMPREF1120_07160,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),811,,,
H6C7M5,H6C7M5_EXODN,unreviewed,DNA repair helicase rad15,HMPREF1120_06857,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),819,,,
H6BKU9,H6BKU9_EXODN,unreviewed,Tocopherol O-methyltransferase,HMPREF1120_00942,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),365,,,
H6BLL7,H6BLL7_EXODN,unreviewed,Phosphatidylinositol 4-kinase,HMPREF1120_00133,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),1979,,,
H6C970,H6C970_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_08599,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),945,,,
H6BMU2,H6BMU2_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_00337,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),251,,,
H6BXN4,H6BXN4_EXODN,unreviewed,Transcriptional regulatory protein GAL4,HMPREF1120_04639,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),892,,,
H6C9Y7,H6C9Y7_EXODN,unreviewed,Dimethylaniline monooxygenase (N-oxide forming),HMPREF1120_08742,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),503,,,
H6BRG9,H6BRG9_EXODN,unreviewed,Small COPII coat GTPase sar1,HMPREF1120_02153,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),189,,,
H6BJY8,H6BJY8_EXODN,unreviewed,Protein phosphatase 2 (Formerly 2A); regulatory subunit A,HMPREF1120_00654,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),615,,,
H6BRC2,H6BRC2_EXODN,unreviewed,Molybdopterin synthase catalytic subunit (EC 2.8.1.12) (Common component for nitrate reductase and xanthine dehydrogenase protein H) (Molybdenum cofactor synthesis protein 2 large subunit) (Molybdenum cofactor synthesis protein 2B) (MOCS2B),cnxH HMPREF1120_02868,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),197,2.8.1.12,FUNCTION: Catalytic subunit of the molybdopterin synthase complex; a complex that catalyzes the conversion of precursor Z into molybdopterin. Acts by mediating the incorporation of 2 sulfur atoms from thiocarboxylated MOCS2A into precursor Z to generate a dithiolene group. {ECO:0000256|HAMAP-Rule:MF_03052}.,
H6C1U0,H6C1U0_EXODN,unreviewed,Coatomer subunit alpha,HMPREF1120_06632,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),1223,,FUNCTION: The coatomer is a cytosolic protein complex that binds to dilysine motifs and reversibly associates with Golgi non-clathrin-coated vesicles; which further mediate biosynthetic protein transport from the ER; via the Golgi up to the trans Golgi network. {ECO:0000256|PIRNR:PIRNR003354}.,
H6C562,H6C562_EXODN,unreviewed,Elongation factor EF-2,HMPREF1120_07757,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),986,,,
H6BRA2,H6BRA2_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_02850,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),450,,,
H6BKL6,H6BKL6_EXODN,unreviewed,Ras-like protein Rab7,HMPREF1120_00859,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),205,,,
H6BT13,H6BT13_EXODN,unreviewed,30S ribosomal protein S15,HMPREF1120_01654,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),316,,,
H6BNX1,H6BNX1_EXODN,unreviewed,Mannosyltransferase (EC 2.4.1.-),HMPREF1120_00603,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),834,2.4.1.-,,
H6BYD8,H6BYD8_EXODN,unreviewed,Tryptophanyl-tRNA synthetase,HMPREF1120_05550,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),503,,,
H6BKM3,H6BKM3_EXODN,unreviewed,Protein disulfide isomerase family A; member 6,HMPREF1120_00866,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),369,,,
H6BLP2,H6BLP2_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_01087,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),374,,,
H6BXL5,H6BXL5_EXODN,unreviewed,putative uncharacterized protein,HMPREF1120_04620,Exophiala dermatitidis (strain ATCC 34100 / CBS 525.76 / NIH/UT8656) (Black yeast) (Wangiella dermatitidis),980,,,
